word2,total,female,male,female_writer_ratio,female_logratio
loves,297,0.001154884977181708,6.089680176163913e-4,1.8964624475717664,0.9233108046728216
shifts,244,9.499860296172116e-4,5.010496347476637e-4,1.8959918613564886,0.9229527714060908
sings,319,0.0012293936853869797,6.552187531315602e-4,1.8763102849410231,0.9078984256838013
wanders,244,9.313588525658936e-4,5.036191200540619e-4,1.8493317975415928,0.8870040888437222
types,365,0.001341156747694887,7.579981653874912e-4,1.7693403611462346,0.8232116003773147
forces,347,0.0012666480394896153,7.220253710979154e-4,1.75429851940458,0.810894264213619
sinks,323,0.001154884977181708,6.757746355827465e-4,1.7089794679639112,0.7731350642787783
breathes,298,0.0010431219148738008,6.269544147611792e-4,1.6637922794931574,0.7344753276789234
faces,257,8.941044984632579e-4,5.421613996500361e-4,1.649148203911972,0.7217210551981768
rushes,881,0.0030362298593648133,0.0018500294206067582,1.6411792296627448,0.7147328010856087
remembers,358,0.0012293936853869797,7.554286800810929e-4,1.6274119818366017,0.7025795177062948
giggles,256,8.7547732141194e-4,5.421613996500361e-4,1.6147909496638058,0.6913474061546577
wraps,395,0.001341156747694887,8.350827245794395e-4,1.6060166355019667,0.6834868367107013
bursts,291,9.872403837198473e-4,6.166764735355861e-4,1.6009048927385054,0.6788876021388863
bows,389,0.001303902393592251,8.248047833538464e-4,1.5808618231944331,0.6607112730068689
releases,289,9.686132066685294e-4,6.141069882291878e-4,1.577271102974386,0.6574306533445492
grins,644,0.0021234981838502377,0.0013669661830038825,1.553438709934938,0.6354653218477578
ignores,341,0.0011176306230790724,7.271643417107119e-4,1.5369711617730835,0.6200900959608419
swallows,322,0.0010431219148738008,6.886220621147378e-4,1.5147959559564568,0.5991234747840373
blinks,394,0.0012666480394896153,8.427911804986343e-4,1.5029203779045335,0.5877685798164615
writes,519,0.0016578187575672907,0.001110017652364055,1.4935066609405345,0.578703671987135
leaps,880,0.002794076557697681,0.0018808632442835376,1.4855288209760336,0.5709765953960442
snatches,301,9.499860296172116e-4,6.475102972123654e-4,1.467136559382997,0.5530031616557849
strides,397,0.0012480208624382975,8.530691217242274e-4,1.4629774195973613,0.5489075022950535
laughs,1882,0.005886187948216447,0.004028952960432495,1.4609721200578583,0.5469286472461004
trails,250,7.823414361553506e-4,5.395919143436379e-4,1.4498761292726086,0.5359296482968432
flies,341,0.0010617490919251188,7.348727976299068e-4,1.44480663231711,0.5308764205705578
rises,1066,0.0032970103380832636,0.0022894114080008634,1.4401126536546114,0.5261816717452812
pours,778,0.0023842786625686875,0.0016753044197716756,1.4231912925375299,0.509129588953128
pats,310,9.499860296172116e-4,6.706356649699499e-4,1.416545643542204,0.5023770885858168
talks,937,0.0028499580888516345,0.0020196154508290444,1.4111389807805925,0.49686008361825107
leans,2916,0.00866163732886281,0.00630294745659497,1.3742201388335975,0.45861313062199716
eyes,626,0.0018627177051317872,0.0013566882417782894,1.3729887587808793,0.4573198136004768
smiles,6939,0.02034087734003912,0.015028919557123512,1.3534490794714387,0.4366406103634011
searches,420,0.0012293936853869797,9.14736769077786e-4,1.3439862996066319,0.42651843157626157
folds,264,7.637142591040328e-4,5.78134193939612e-4,1.3209982511150435,0.40162855658525237
closes,2097,0.006016578187575673,0.004563405904163337,1.3184402864725582,0.39883223152802477
