word2,total,female_he,female_she,male_he,male_she,female_ratio,male_ratio,self_ratio,self_logratio
came,122,2.344207853096308e-4,7.78044985146414e-4,0.001138133230798808,6.649141796814598e-4,3.319010232470411,1.7116994426920675,5.681147965208872,2.5061824783876565
squints,70,3.125610470795077e-4,6.365822605743387e-4,7.190233586465443e-4,3.169939693830215e-4,2.036665369925025,2.268255639203513,4.619677710502947,2.207792206256529
bangs,72,2.7349091619456925e-4,7.426793040033952e-4,7.459386715370566e-4,5.334776557909386e-4,2.7155538265667,1.3982566344435203,3.797041154185377,1.9248756356747787
barely,69,3.5163117796444617e-4,0.001167067477719621,4.4987022974142077e-4,4.097726921292717e-4,3.319010232470411,1.0978531229199124,3.643785748720785,1.8654381324810103
jerks,81,5.079117015042e-4,9.195077097184891e-4,8.305296549072383e-4,4.5616205350239677e-4,1.8103692177111332,1.8206899248424104,3.2961209949314965,1.7207692023462913
winces,83,4.688415706192616e-4,0.0010963361154335833,7.997692973180814e-4,5.798670171640638e-4,2.3383935728768805,1.3792288122016085,3.2251797899788555,1.6893795868555943
snaps,168,7.423324868138308e-4,0.0019097467817230159,0.0015341728347592041,0.0013220967991340652,2.572629940957926,1.1604088564196227,2.985302567777868,1.5778771596009948
fumbles,76,3.907013088493846e-4,8.841420285754703e-4,5.729116600980487e-4,4.484304932735426e-4,2.2629615221389163,1.2775930020186486,2.8911438045221485,1.5316403697666154
understands,67,1.953506544246923e-4,8.134106662894328e-4,4.4987022974142077e-4,6.649141796814598e-4,4.163849200735607,0.6765839013343646,2.817193336801673,1.494258575595621
sips,82,3.5163117796444617e-4,0.0010963361154335833,6.690377775641641e-4,7.422297819700015e-4,3.117858097169174,0.9013890223973854,2.810403062181094,1.4907770536167988
writes,112,0.0013283844500879079,0.0019804781440090537,0.0013150052869364607,7.035719808257306e-4,1.4908922969385803,1.8690415803556246,2.786539694810111,1.4784747050391303
sniffs,67,6.251220941590154e-4,8.134106662894328e-4,7.074882245506104e-4,3.479202102984382e-4,1.301202875229877,2.03347837696391,2.6459679108232232,1.4037955653290148
scans,153,0.0010158234030084,0.0013792615645777339,0.0017648755166778814,9.432503479202103e-4,1.3577769132833502,1.8710573715337473,2.54047850249715,1.3451002561167418
clutches,81,2.7349091619456925e-4,7.78044985146414e-4,6.805729116600981e-4,7.808875831142724e-4,2.8448659135460663,0.8715376276645256,2.479407689315612,1.3099955134555594
covers,114,4.2977143973432313e-4,0.0016975526948649032,7.843891185235029e-4,0.001267975877532086,3.9498964750061085,0.6186151743282309,2.4434658964643683,1.2889289689819345
