word2,total,female,male,female_writer_ratio,female_logratio
loves,82,0.00115736419637857,6.090760034334411e-4,1.9001966747242653,0.9261487485377509
shifts,74,9.520253873436625e-4,5.011384838376414e-4,1.8997251619017532,0.9257907152710197
sings,86,0.0012320328542094457,6.553349404030696e-4,1.880004831501389,0.9107363695487304
types,81,0.0013440358409557587,7.581325781133549e-4,1.7728242787039292,0.8260495442422436
barely,69,7.653537427664737e-4,4.343200193259559e-4,1.7621884985966487,0.8173682553850341
forces,100,0.0012693671831248833,7.221534049147551e-4,1.75775281884148,0.8137322080785482
sinks,79,0.00115736419637857,6.758944679451266e-4,1.712344531975859,0.7759730081437077
breathes,90,0.001045361209632257,6.270655900327411e-4,1.6670683677247786,0.7373132715438526
rushes,188,0.0030427478066081762,0.0018503574787851376,1.644410791695186,0.7175707449505377
remembers,90,0.0012320328542094457,7.555626371705978e-4,1.6306164354858987,0.705417461571224
wraps,104,0.0013440358409557587,8.35230806396069e-4,1.6091789606697204,0.6863247805756304
bursts,80,9.893597162591002e-4,6.167858262617125e-4,1.6040571526351814,0.6817255460038156
releases,80,9.706925518013814e-4,6.142158853189554e-4,1.580376826785116,0.6602685972094785
grins,124,0.0021280567481799513,0.0013672085815467961,1.5564975066001758,0.6383032657126868
ignores,97,0.0011200298674631324,7.272932868002694e-4,1.5399975330319762,0.622928039825771
swallows,90,0.001045361209632257,6.887441726589123e-4,1.5177786631524106,0.6019614186489667
blinks,88,0.0012693671831248833,8.429406292243404e-4,1.5058797015074874,0.5906065236813907
writes,112,0.0016613776367369797,0.0011102144872710824,1.4964474484751693,0.5815416158520642
leaps,180,0.002800074668657831,0.0018811967700982232,1.4884538997542667,0.5738145392609733
snatches,72,9.520253873436625e-4,6.476251175747982e-4,1.4700254229001661,0.5558411055207139
strides,97,0.0012507000186671644,8.53220392995369e-4,1.465858093565226,0.5517454461599824
laughs,333,0.005898823968639164,0.004029667398243188,1.4638488454930227,0.5497665911110297
flies,76,0.0010640283740899756,7.350031096285408e-4,1.447651527117646,0.5337143644354869
rises,184,0.0033040881090162406,0.0022898173799966075,1.4429483057819816,0.5290196156102106
pours,186,0.0023893970505880157,0.0016756014946776522,1.425993625678689,0.5119675328180574
pats,98,9.520253873436625e-4,6.707545860596124e-4,1.4193348910760224,0.5052150324507458
talks,210,0.0028560761620309875,0.0020199735810071083,1.4139175823314578,0.49969802748318043
leans,493,0.008680231472839276,0.006304065132583254,1.376926045382137,0.46145107448692674
eyes,131,0.0018667164457718873,0.0013569288177757675,1.3756922406819738,0.4601577574654062
smiles,666,0.02038454358782901,0.015031584574186485,1.3561140867899635,0.43947855422833004
searches,125,0.0012320328542094457,9.148989756215402e-4,1.3466326742495907,0.42935637544119076
folds,85,7.653537427664737e-4,5.782367121203555e-4,1.3235993611681496,0.4044665004501814
closes,411,0.006029494119843196,0.004564215114336673,1.3210363597683925,0.4016701753929537
kisses,380,0.006346835915624417,0.004810929444841358,1.3192535846539954,0.39972190360343224
clicks,142,0.001885383610229606,0.0014314571051157244,1.317108003789736,0.3973736524608979
hugs,159,0.0018293821168564495,0.0013929079909743673,1.3133545996650933,0.3932564898104717
waits,277,0.0035280940825088668,0.002708717753666021,1.30249601595954,0.38127895963299285
freezes,148,0.0015680418144483853,0.0012053023021530965,1.3009531398449232,0.37956899731251864
would,132,0.0012507000186671644,9.66297794476683e-4,1.2943215081480186,0.37219602582926986
indicates,80,9.146910584282247e-4,7.093037002009694e-4,1.2895619438740589,0.36688107438617407
hurries,147,0.0017360462945678551,0.001349218994947496,1.2867046054561455,0.36368088560368134
strokes,69,7.093522493933172e-4,5.551072436355412e-4,1.2778652369001446,0.353735698329252
glares,98,0.001026694045174538,8.043915150829834e-4,1.2763611076487067,0.35203655364117625
disappears,165,0.0016800448011946986,0.0013209496445771675,1.271846211618821,0.34692423418493157
shrugs,192,0.0024640657084188913,0.0019403054117816372,1.2699370384976272,0.3447569721951472
crawls,102,0.0011946985252940078,9.431683259918687e-4,1.2666864358889716,0.3410594342059221
still,178,0.001885383610229606,0.0014905657467991385,1.2648778588118672,0.3389980797859952
gathers,89,7.840209072241927e-4,6.296355309754982e-4,1.2451980052801408,0.3163751708253246
